STFIPS,NAME,YEAR,AdmAlc,AdmCoc,AdmMar,AdmHer,AdmOpi,AdmBen,AdmNMJ,RatAlc,RatCoc,RatMar,RatHer,RatOpi,RatBen,RatNMJ,lRatAlc,lRatCoc,lRatMar,lRatHer,lRatOpi,lRatBen,lRatNMJ,P017,P1824,P2565,P65
8,Colorado,2002,54615,2966,4513,1677,496,297,63176,1216.259732416178,66.05193383404529,100.50316162948293,37.346288954718126,11.045771807716273,6.614101263894623,1406.9106446054097,7.104357490443603,4.205467450982845,4.620089947055665,3.646657755326999,2.488713711034851,2.030001957569084,7.249862072065946,0.253489996227513,0.103353906083325,0.546996195889637,0.0961599017995255
8,Colorado,2003,49570,2960,4282,1880,605,214,59098,1094.5668677236806,65.36045851244896,94.55185248321163,41.51272364979866,13.359147770280954,4.725384500562188,1304.9568841786179,6.999027195715585,4.195101374768671,4.559669058077745,3.7498034111203853,2.664387214385476,1.7449097088553105,7.174691295645639,0.252741164635046,0.103045620716792,0.547008301661481,0.0972049129866815
8,Colorado,2004,51734,3982,5584,1609,717,153,63503,1130.7946010208057,87.03800404501584,122.05429798778714,35.169298972483794,15.67208661483585,3.344252792287148,1388.0397716902662,7.031559794437994,4.477768585399632,4.812625705018513,3.5882106643131975,2.8137358607851395,1.4688537743747299,7.236367975670744,0.250571747009243,0.103035772794525,0.548018333499817,0.0983741466964138
9,Connecticut,2000,22995,5643,3896,17093,627,7,46967,673.9889506260228,165.39767986008465,114.1926919608169,500.9999188106374,18.37751998445385,0.20517167446758683,1376.6140049598787,6.51469632129562,5.1143805851413715,4.746606308409395,6.218599957959918,2.964113630495606,0.18662202523278568,7.228108299823793,0.246863144924185,0.0798783156108972,0.535280002180682,0.137978537284236
9,Connecticut,2001,18592,5495,3748,17702,839,63,43926,541.5931729896719,160.0717774084685,109.18089567369243,515.6670798334321,24.440440627061893,1.8352178301607853,1279.5837842482963,6.2963598181141105,5.081850088048026,4.702123521197338,6.247398720922473,3.236340058568071,1.0421187702635288,7.155071334384115,0.246399841530397,0.0811279889653887,0.535274780174404,0.13719738932981
9,Connecticut,2002,17315,5260,3999,17976,940,94,42700,500.6145285477495,152.07810685308473,115.61983827100492,519.7254845610364,27.177456357775597,2.7177456357775602,1234.550411145764,6.2178319533086395,5.030948293438207,4.758919398989798,6.255223001857758,3.3385222383005164,1.3131174726978787,7.119271826818667,0.245428910857654,0.0826185999620094,0.535578037030152,0.136374452150185
9,Connecticut,2003,16385,5629,3272,17380,1177,139,41993,470.2474158634529,161.5515840033797,93.90598380867975,498.80378930160583,33.77975028814672,3.98928231950076,1205.1937585812618,6.155383255168306,5.090995391417167,4.552886757460315,6.214215600007978,3.549035329146099,1.6072920756724576,7.095225026555863,0.244268922400136,0.0840303575774552,0.535591573258147,0.136109146764262
9,Connecticut,2004,15484,5457,3386,17473,1552,126,42923,442.89427000532595,156.0884804584774,96.85094279501638,499.78633297617284,44.392399060208334,3.6040220886509347,1227.7415881838417,6.095586403455992,5.0568092164017076,4.583445328900588,6.216179529030458,3.8153446694494306,1.5269302885568445,7.113745825605871,0.242836434031808,0.0854490754539209,0.535955268937277,0.135759221576994
10,Delaware,2000,2319,1136,1130,1947,86,12,5593,294.8982225991991,144.46070757770167,143.69771088274902,247.59242751213483,10.936285960987979,1.5259933899052993,711.2400858116949,5.6900155526263765,4.979905999128847,4.974646813766272,5.5158147180822485,2.479583001031992,0.92663440710195355,6.568415053746841,0.247864563000001,0.0965864799528977,0.525624608169406,0.129924348877695
10,Delaware,2001,2307,1114,1366,1893,85,9,5521,289.93375635761765,140.00268945920504,171.6729567336392,237.90403154961862,10.682431421932163,1.131080974086935,693.8553397704409,5.673095599874503,4.948778964375018,5.151399381887155,5.4760619296586865,2.4580861254217514,0.7566293505583105,6.543703679684586,0.246372057775616,0.0986930987722744,0.524940963856936,0.129993879595174
10,Delaware,2002,2230,1277,1391,1697,133,12,5555,276.61693763962643,158.40351092636905,172.54446648283422,210.5017682396619,16.49778148254274,1.4885216375226533,689.061474703195,5.626242241323306,5.071438792000431,5.156433857517339,5.354233358922599,2.8620741004670363,0.9116888142847598,6.536780687395437,0.244298652019614,0.100077030994742,0.52530176675114,0.130322550234504
10,Delaware,2003,2336,1324,1512,1909,172,14,5979,285.57352479147386,161.85759709927714,184.84039789585123,233.3732272375529,21.026817750057152,1.7114851657023264,730.9264146953007,5.657995134265496,5.092876181535425,5.224888229526646,5.456914832909629,3.0922606996338535,0.997496516401596,6.595679982535657,0.242107914029655,0.100493518972424,0.52652618633428,0.130872380663641
10,Delaware,2004,2335,1300,1507,2111,230,27,6315,281.05339051495963,156.47512105757923,181.39077494905533,254.09152350196135,27.684059879417866,3.2498678988881844,760.1079919066253,5.642096381085049,5.05926748424927,5.206151500424029,5.541622396457562,3.3563415635728093,1.4468878998387062,6.634775255686782,0.240286806860351,0.0996770594232327,0.528347875489135,0.131688258227281
12,Florida,2000,33462,17471,15759,4175,2664,402,63747,208.5182659121989,108.87043881872053,98.20212039060253,26.01648915735552,16.600701105435952,2.5050607523968664,397.23907408717173,5.344810923686583,4.699301842686069,4.597159388967654,3.2964473891288386,2.867938736786826,1.2542078534024905,5.987052513604455,0.227753642853738,0.0836076489101272,0.513399426640199,0.175239281595936
12,Florida,2001,27320,13317,14268,3692,3113,473,52933,167.02363995865738,81.41485407501611,87.22889073682735,22.571423086653112,19.031646822521978,2.891734322856696,323.61135922150845,5.124104683543594,4.411765688569801,4.479934468751345,3.1600350921577967,2.9973133640974288,1.3588548996239662,5.782628648989172,0.22708606229297,0.0856995728914519,0.51396713791543,0.173247226900148
12,Florida,2002,32667,17283,19205,5037,4089,569,67882,195.73536927996682,103.55693474349242,115.07324722263334,30.180887594918204,24.50062524828678,3.409355775562529,406.73794157598525,5.2818595225501435,4.649731753120111,4.754221433405442,3.43980533002748,3.2387029714044395,1.4837285961487645,6.01062466798225,0.22616935210855801,0.087256139686519,0.515320290700008,0.171254217504915
12,Florida,2003,28315,16612,20193,4038,3354,587,61109,166.51881003888184,97.69417172402984,118.75381709747981,23.7472348556244,19.72467204204166,3.452111654346588,359.3783493789875,5.121095643699682,4.592025894280794,4.785438111336077,3.2087137597681448,3.031324876627959,1.4933785126914854,5.887154450064491,0.22470341685542,0.0889872051333547,0.516395266196329,0.169914111814896
12,Florida,2004,12271,8633,11478,1561,1983,339,28270,70.46095856532737,49.57130268881682,65.90749591824853,8.963373508310328,11.386527653414081,1.9465622160904557,162.32835943621586,4.2691512665177145,3.923384274871176,4.203311007468021,2.298915719902343,2.516609402400834,1.0806391403250557,5.0957626495415465,0.223408725582846,0.090342651222332,0.517873288331571,0.16837533486325101
13,Georgia,2000,13249,7921,3805,539,294,221,26421,161.03697651587646,96.2769938095145,46.2484486106808,6.551357109371078,3.573467514202406,2.6861779613562304,321.1380448732713,5.087824559285297,4.57756251528883,3.855419819764331,2.0217272966934856,1.520271673039401,1.3045901384284104,5.774980164460752,0.264555225448728,0.102684804485747,0.536927836497574,0.0958321335679505
13,Georgia,2001,14701,9203,4720,733,583,251,31987,175.49162365026874,109.85983351155862,56.34449790009309,8.75010952558649,6.959500482151328,2.9962857993481706,381.84140981573677,5.17327341717505,4.708266642200513,4.049076900003336,2.277278518340148,2.0743662443886315,1.3853653795871776,5.947620829840351,0.264459824582388,0.103400509822207,0.536638248507408,0.095501417087997
13,Georgia,2002,13238,7678,4729,676,647,295,29351,155.5900527675707,90.24176047359177,55.58130831982488,7.945224027109669,7.604378617662656,3.467220544374781,344.9708142303194,5.053631261536481,4.513512692205839,4.035678688968132,2.191119761600631,2.1522712152795416,1.496766413073051,5.846354419564406,0.264423637464599,0.103138645569668,0.536957045016041,0.0954806719496922
13,Georgia,2003,13615,8541,5427,688,840,363,30612,157.8954753987484,99.05143263905327,62.937843921337326,7.978853255551884,9.741623160848231,4.209772865937985,355.01258119034054,5.068246598617115,4.605684380158141,4.157911422721227,2.1948721743326067,2.3741262099563776,1.6505362590256973,5.874966070649878,0.26426588229591,0.102443257074593,0.537306183738842,0.0959846768906548
13,Georgia,2004,11115,7494,4922,559,667,287,26113,126.7496931323219,85.45768783928207,56.12793428675559,6.374545970397475,7.606121936055663,3.2727990939250007,297.77910362252106,4.850072826985601,4.459655136333691,4.045293213965297,1.998034336994848,2.1524738030419983,1.4522691379869042,5.699704516484231,0.263289845017568,0.103127724006563,0.537487233802837,0.0960951971730314
15,Hawaii,2000,2528,416,1342,371,67,7,5306,208.31977084825206,34.28046862059844,110.58747329048823,30.57224485154332,5.521133167259846,0.5768348085196853,437.2407848579215,5.343863086759724,3.563329513947155,4.714808797146099,3.452278407154463,1.8750481594968098,0.4554195520310846,6.082768496444895,0.243384734808437,0.0956466277001019,0.528201865813391,0.13276677167807
