"","STFIPS","ADMYR","AdmAlc","AdmCoc","AdmMar","AdmHer","AdmOpi","AdmBen","AdmNMJ"
"89",21,2013,4753,1102,2098,3439,3865,362,15071
"90",21,2014,4604,977,2237,4264,3683,398,15776
"91",22,2010,7727,3800,6024,1887,3152,416,20144
"92",22,2011,7003,3592,5261,2307,4162,440,19910
"93",22,2012,4108,1979,2588,1535,2986,352,16207
"94",22,2013,3132,1302,1621,1954,2107,304,11325
"95",22,2014,2297,773,1239,1756,1261,217,9173
"96",23,2010,6247,444,1161,968,3916,89,12407
"97",23,2011,6420,524,1233,1289,4709,131,13994
"98",23,2012,5682,472,1123,1755,4945,101,13943
"99",23,2013,5635,540,1065,2679,4607,106,14606
"100",23,2014,5480,432,896,3658,3406,88,14043
"101",24,2010,12331,4157,7233,12843,4898,406,35657
"102",24,2011,19613,5810,13422,16650,8260,682,52484
"103",24,2012,18390,4904,12236,16685,8072,669,50231
"104",24,2013,14197,3114,9843,16827,5681,505,41554
"105",24,2014,11308,2380,7521,14770,3737,457,33571
"106",25,2010,26632,3647,3194,36796,9418,1142,78055
"107",25,2011,24577,3339,2935,38625,9436,1352,77791
"108",25,2012,23166,3092,2879,43695,7767,1163,79571
"109",25,2013,22276,2776,2793,49416,5921,959,82122
"110",25,2014,22096,2482,2571,50553,4348,949,80921
"111",26,2010,24769,5252,10869,10757,7371,456,50658
"112",26,2011,22677,5003,9375,11186,7877,461,49152
"113",26,2012,21216,4114,8741,11959,7376,513,47144
"114",26,2013,20615,3946,8859,12258,7257,476,46413
"115",26,2014,22856,3885,8659,16180,8173,497,54038
"116",27,2010,27250,2196,9559,2349,4481,279,41429
"117",27,2011,26183,2140,9265,3445,4836,294,42289
"118",27,2012,25317,1919,9301,4677,4667,289,43533
"119",27,2013,23775,1677,8963,5271,4597,267,44223
"120",27,2014,23403,1562,8489,5597,4048,306,44923
"121",28,2010,1091,480,643,57,504,73,2689
"122",28,2011,2277,979,1550,91,1007,144,5559
"123",28,2012,2216,855,1401,114,940,132,5032
"124",28,2013,1843,585,1181,104,816,106,4432
"125",28,2014,1417,476,1084,157,545,75,3320
"126",29,2010,17167,3247,10877,3808,2548,415,32416
"127",29,2011,13518,2269,7950,3302,2144,363,26235
"128",29,2012,14662,2030,8524,3934,2457,374,29534
"129",29,2013,14069,1787,8235,4239,2633,304,29964
"130",29,2014,13185,1602,8183,4731,2383,310,29620
"131",30,2010,4710,90,1429,99,827,15,6323
"132",30,2011,5278,67,1729,150,905,30,7272
"133",30,2012,4966,67,1560,207,966,25,7234
"134",30,2013,4166,42,1316,187,753,14,6253
"135",30,2014,3249,33,1101,106,571,25,5043
"136",31,2010,11955,402,991,23,266,27,14024
"137",31,2011,12533,460,1119,74,567,47,15483
"138",31,2012,9101,347,1033,64,384,49,11942
"139",31,2013,8747,234,1188,77,382,45,12015
"140",31,2014,8258,168,982,52,329,39,11575
"141",32,2010,3288,516,1544,793,536,41,7213
"142",32,2011,3336,444,1738,879,577,77,7478
"143",32,2012,3074,400,1732,928,612,82,7598
"144",32,2013,2931,268,1580,917,531,74,7249
"145",32,2014,2850,257,1087,988,460,44,7120
"146",33,2010,2866,430,782,915,1114,42,5540
"147",33,2011,2596,349,614,859,942,31,4865
"148",33,2012,1799,252,488,771,829,22,3791
"149",33,2013,1752,192,436,1202,915,25,4207
"150",33,2014,1362,173,366,1538,613,18,3815
"151",34,2010,23194,4866,11210,22831,7172,864,60344
"152",34,2011,22034,4713,11896,23525,8742,1018,61554
"153",34,2012,21686,4482,12279,26999,8596,902,64196
"154",34,2013,25457,4739,13957,32634,7888,850,75155
"155",34,2014,15082,3297,9133,24008,4522,466,55285
"156",35,2010,3003,219,485,381,519,10,7497
"157",35,2011,4255,288,722,464,670,10,9129
"158",35,2012,3973,189,651,556,678,13,7920
"159",35,2013,3732,208,611,708,608,8,7515
"160",35,2014,3048,109,327,511,620,11,5710
"161",36,2010,137187,36106,54262,57575,18795,3804,257175
"162",36,2011,131532,34266,50581,56797,23589,3916,254281
"163",36,2012,122854,30135,47206,61919,23610,4045,247395
"164",36,2013,113327,27083,45323,70360,21095,3645,240436
"165",36,2014,111139,23391,42373,79420,18130,4031,241510
"166",37,2010,21489,8175,13285,1824,7371,760,49207
"167",37,2011,25711,9003,13632,2459,9334,865,52283
"168",37,2012,21887,7864,14738,2812,8907,737,45267
"169",37,2013,19557,6805,14977,3267,9134,728,42751
"170",37,2014,14359,4872,12627,2973,6658,701,32529
"171",38,2010,1448,18,705,10,156,5,1802
"172",38,2011,1011,12,495,7,117,3,1292
"173",38,2012,1397,16,750,16,181,8,1900
"174",38,2013,1355,5,731,22,188,11,2012
"175",38,2014,1471,13,866,63,242,9,2476
"176",39,2010,32643,7793,21875,10675,9067,503,67172
"177",39,2011,28568,6569,20403,11759,9584,506,63314
"178",39,2012,23703,4747,17300,12951,8123,365,56814
"179",39,2013,17860,3538,13171,12490,6596,280,46110
"180",39,2014,16046,3010,11352,14524,5662,240,43922
"181",40,2010,4961,630,2930,185,1619,171,11014
"182",40,2011,4535,592,2843,227,1492,174,10650
"183",40,2012,4325,444,2650,242,1537,172,10504
"184",40,2013,4203,321,2491,319,1402,148,10332
"185",40,2014,4525,336,2833,359,1588,154,11528
"186",41,2010,27140,814,8894,4876,2504,0,43171
"187",41,2011,25759,734,9173,5872,2692,0,42825
"188",41,2012,22373,545,8003,5957,2623,0,39355
"189",41,2013,17567,425,6748,6044,2382,2,34575
"190",41,2014,10011,193,3665,5145,1586,18,23236
"191",42,2010,24300,6042,10169,12283,7080,472,51984
"192",42,2011,19455,4833,8424,10724,6371,423,43552
"193",42,2012,14743,3043,6093,11260,5305,394,36530
"194",42,2013,14354,2615,5908,15114,5105,468,39198
"195",42,2014,12674,2044,5113,16116,4692,426,37405
"196",44,2010,4160,880,1588,2055,1359,71,8824
"197",44,2011,4387,846,1515,2517,1502,86,9648
"198",44,2012,4269,829,1239,2632,1436,112,9636
"199",44,2013,4086,781,1230,3703,1335,91,10387
"200",44,2014,4005,723,980,3906,1122,93,10117
"201",45,2010,16602,1952,6087,221,1903,178,21712
"202",45,2011,9024,1662,5232,244,2013,165,13975
"203",45,2012,8796,1539,5759,291,2223,207,14169
"204",45,2013,7100,1039,4719,228,1792,163,11313
"205",46,2010,11326,97,1967,40,350,27,12673
"206",46,2011,10704,106,2061,61,387,15,12158
"207",46,2012,10921,98,2069,76,372,10,12475
"208",46,2013,10208,59,1819,98,353,8,11767
"209",46,2014,8642,69,1719,72,373,11,10444
"210",47,2010,3823,1442,2047,199,3332,203,9706
"211",47,2011,4097,1592,2332,240,3832,225,11103
"212",47,2012,4046,1458,2217,392,4149,235,11323
"213",47,2013,4176,1442,2545,553,4425,217,11967
"214",47,2014,4365,1363,2392,744,4469,211,12544
"215",48,2010,11835,5803,11043,4757,3230,601,30466
"216",48,2011,12397,5611,10254,6252,3485,648,32956
"217",48,2012,12391,5088,9292,5914,3456,696,32948
"218",48,2013,11080,4222,8375,6134,2888,603,31300
"219",48,2014,10667,3722,8964,6083,2522,626,30521
"220",49,2010,6119,853,2395,2001,913,105,12667
"221",49,2011,5477,697,2273,2034,841,91,11925
"222",49,2012,4878,614,2091,1987,788,68,11129
"223",49,2013,4984,509,2109,2304,740,66,11650
"224",49,2014,3760,340,1934,2280,629,53,9810
"225",50,2010,3834,389,1248,394,1847,43,6672
"226",50,2011,3579,404,1172,631,2179,38,6981
"227",50,2012,3574,358,1168,1108,2371,50,7586
"228",50,2013,3387,282,1076,2151,2371,44,8401
"229",50,2014,3675,344,1207,3188,2552,56,9988
"230",51,2010,10962,2740,5802,1995,2697,211,20886
"231",51,2011,11270,2617,6297,1991,2880,281,21386
"232",51,2012,10917,2322,6309,2353,2934,270,21430
"233",51,2013,9689,1883,5546,2397,2589,233,19488
"234",51,2014,9236,1799,5439,2751,2611,235,19620
"235",53,2010,15868,1615,8549,3570,3108,93,29584
"236",53,2011,14250,1318,8649,4576,2656,84,28176
"237",53,2012,12127,1070,7915,5170,2608,65,26349
"238",53,2013,11842,749,7430,5295,2471,74,26160
"239",53,2014,11704,683,6979,7244,2526,67,28221
"240",54,2010,1614,106,499,173,1372,66,3475
"241",54,2011,1144,72,373,197,1180,53,2804
"242",54,2012,555,51,221,164,681,24,1563
"243",54,2013,744,53,355,400,794,18,2167
"244",54,2014,1499,67,535,566,999,24,3436
"245",55,2010,21003,1784,2816,1394,1655,71,26536
"246",55,2011,19237,1587,2687,1862,1725,80,25033
"247",55,2012,20332,1660,2802,2138,1979,104,27041
"248",55,2013,15900,1289,2903,2647,1727,94,22497
"249",55,2014,11985,766,2052,2248,1128,87,17023
"250",56,2010,3676,69,944,48,255,15,4762
"251",56,2011,3459,57,1049,57,247,16,4545
"252",56,2012,3069,43,1012,69,240,15,4169
"253",56,2013,2919,37,1067,124,347,15,4365
"254",56,2014,2927,46,950,157,324,18,4463
"255",72,2010,839,116,223,583,0,4,1648
"256",72,2011,1179,188,478,563,0,22,2122
"257",72,2012,1285,236,742,629,0,25,2417
"258",72,2013,1272,181,725,622,0,25,2417
"259",72,2014,2063,186,705,789,0,14,3412
