"","STFIPS","ADMYR","AdmAlc","AdmCoc","AdmMar","AdmHer","AdmOpi","AdmBen","AdmNMJ"
"1",1,2010,7288,2926,6221,212,2511,234,15514
"2",1,2011,2366,1038,2154,176,1081,145,5922
"3",1,2012,2975,1096,2378,215,1442,139,7141
"4",1,2013,3044,1031,2426,345,1651,187,7795
"5",1,2014,2832,912,2187,562,1438,171,7350
"6",2,2010,5251,170,546,242,347,7,6503
"7",2,2011,5203,108,642,289,385,10,6547
"8",2,2012,4589,64,561,328,351,5,5884
"9",2,2013,4592,56,605,450,276,8,5972
"10",2,2014,4401,60,604,569,270,8,5861
"11",4,2010,9935,1200,5277,3102,1392,107,23460
"12",4,2011,8629,1105,5095,2678,1470,102,18191
"13",4,2012,8289,1062,4913,3063,1772,107,19249
"14",4,2013,6947,762,3861,3676,1586,95,17758
"15",4,2014,7094,632,4258,4161,1568,85,18706
"16",5,2010,5469,1051,2790,53,1678,204,11366
"17",5,2011,4722,918,2311,42,1504,174,9866
"18",5,2012,4553,816,2230,77,2001,202,10302
"19",5,2013,3860,660,1939,74,1905,142,9885
"20",5,2014,3060,395,1413,77,1311,100,7324
"21",6,2010,37233,10689,31079,26969,9022,312,132255
"22",6,2011,34640,9015,32122,27518,8456,329,124302
"23",6,2012,34814,8374,31176,29491,8712,369,126767
"24",6,2013,32024,7452,27860,31961,8155,359,128061
"25",6,2014,31093,6353,24279,38855,8119,312,134829
"26",8,2010,57441,3345,7307,2518,2347,205,71922
"27",8,2011,56493,3132,6521,3015,2492,274,71321
"28",8,2012,62717,3173,6988,3980,3260,309,80977
"29",8,2013,60900,2405,6544,4533,3091,271,79939
"30",8,2014,61420,2186,6870,6287,2855,329,82983
"31",9,2010,19908,4617,8355,11690,2527,525,43596
"32",9,2011,24063,5552,7826,15543,3424,732,54489
"33",9,2012,24693,5274,7258,15763,3378,808,54734
"34",9,2013,23132,4597,6943,19283,3355,816,57096
"35",9,2014,23261,4310,7852,21785,3124,842,59276
"36",10,2010,1512,444,1756,1280,1330,35,4947
"37",10,2011,1495,352,1663,1326,1676,31,5262
"38",10,2012,1470,342,1379,2212,1428,43,6123
"39",10,2013,1076,230,1221,2444,864,36,5258
"40",10,2014,1039,253,1036,3413,662,24,6763
"41",11,2010,745,560,534,1213,41,3,2782
"42",11,2011,2216,1719,1276,1710,64,4,6341
"43",11,2012,1957,1222,819,1144,52,4,4948
"44",11,2013,1809,1055,658,1203,45,3,4583
"45",11,2014,2059,936,608,1288,60,2,4848
"46",12,2010,14387,6769,18131,1487,15195,1030,43305
"47",12,2011,28567,9208,27787,2107,26294,1982,76517
"48",12,2012,19986,5240,15202,2051,16060,1259,49509
"49",12,2013,17023,3309,9935,2660,12947,931,41003
"50",12,2014,12477,2219,4889,3152,8284,656,29151
"51",13,2010,17975,5520,8900,530,2726,906,33386
"52",13,2011,18855,5183,8585,481,2925,956,35112
"53",13,2012,19209,4795,8864,660,3076,977,35687
"54",13,2013,18793,4451,9122,912,2940,861,35268
"55",13,2014,18007,4699,9107,1192,2883,887,35987
"56",15,2010,2119,153,2044,105,238,18,4573
"57",15,2011,2248,190,1951,107,297,28,4895
"58",15,2012,2060,152,1991,132,307,14,4864
"59",15,2013,1891,112,2036,124,298,12,4739
"60",15,2014,1631,134,1787,185,292,5,4616
"61",16,2010,1390,48,1172,126,316,11,3159
"62",16,2011,1657,30,1423,116,347,8,3461
"63",16,2012,2268,33,1790,183,486,21,4765
"64",16,2013,2008,24,1407,201,321,14,4193
"65",16,2014,977,12,492,178,152,10,2370
"66",17,2010,24085,8974,17607,18451,2342,317,55663
"67",17,2011,18408,7205,13856,15820,2263,296,45620
"68",17,2012,11848,3490,8816,9569,1665,223,28022
"69",17,2013,10928,2876,8312,8645,1567,228,25519
"70",17,2014,9098,2198,6680,7901,1267,211,21875
"71",18,2010,9915,1499,5401,1234,2213,368,18999
"72",18,2011,9856,1643,5098,1672,2620,386,19267
"73",18,2012,9992,1469,4945,1902,3026,472,19729
"74",18,2013,9832,1133,5481,2353,3136,450,20261
"75",18,2014,9019,971,5364,3176,3059,445,20471
"76",19,2010,16451,962,9350,380,1391,119,23930
"77",19,2011,13112,787,8211,299,1260,137,19509
"78",19,2012,12557,684,8209,419,1346,122,20062
"79",19,2013,12610,588,8087,592,1478,147,21471
"80",19,2014,12289,562,7522,652,1375,149,21037
"81",20,2010,6161,1207,4510,162,757,75,10467
"82",20,2011,5411,962,4259,146,809,83,9589
"83",20,2012,4968,820,3985,142,811,82,9385
"84",20,2013,3867,511,2979,159,720,50,7904
"85",20,2014,2074,239,1797,86,422,35,4685
"86",21,2010,7401,1784,3696,1059,5711,665,18446
"87",21,2011,6388,1509,2839,1232,6264,525,17759
"88",21,2012,4989,1060,1996,2052,4625,437,14566
