"","STATE","YEAR","P017","P1824","P2565","P65"
"1",1,"2000",0.252073088804051,0.0993321688083549,0.518123621880821,0.130471120506773
"2",1,"2001",0.250783524344205,0.100268509013943,0.518267834831591,0.13068013181026
"3",1,"2002",0.249233887987493,0.100591082007523,0.519462224969191,0.130712805035793
"4",1,"2003",0.247160036513896,0.101376687551946,0.520371196478465,0.131092079455693
"5",1,"2004",0.245801944896726,0.101072917846113,0.522058812169079,0.131066325088082
"6",1,"2005",0.244480672588874,0.100260295570599,0.523502425158185,0.131756606682342
"7",1,"2006",0.243422472462082,0.0991825198677636,0.524951171758968,0.132443835911186
"8",1,"2007",0.242314309927153,0.0990823567680468,0.52547872385958,0.13312460944522
"9",1,"2008",0.240542061961686,0.0997054812782655,0.524755383719999,0.13499707304005
"10",1,"2009",0.238378894386602,0.100229132872265,0.52497972861353,0.136412244127603
"11",2,"2000",0.30354495408169,0.0918366209474125,0.547121406834479,0.0574970181364189
"12",2,"2001",0.297880431866741,0.0974793045443213,0.545599434445191,0.0590408291437462
"13",2,"2002",0.293431641023326,0.10163979344176,0.544418272651272,0.0605102928836421
"14",2,"2003",0.288153864660541,0.105261453330742,0.544264929504915,0.0623197525038016
"15",2,"2004",0.282631513485801,0.109030071926296,0.544408648143598,0.0639297664443049
"16",2,"2005",0.277839585213795,0.110340267427948,0.545930255223061,0.0658898921351953
"17",2,"2006",0.274810381133182,0.110127024649712,0.54753725000074,0.0675253442163654
"18",2,"2007",0.270974570042628,0.109338527120388,0.549708951932971,0.0699779509040129
"19",2,"2008",0.266379617574969,0.109397706031668,0.551022248729008,0.0732004276643562
"20",2,"2009",0.266636619234649,0.104806873707782,0.552895642406942,0.0756608646506271
"21",4,"2000",0.266135279985645,0.100691471859979,0.503084920976029,0.130088327178348
"22",4,"2001",0.265292709155648,0.101644133462609,0.503502907095262,0.129560250286481
"23",4,"2002",0.264616479391726,0.101812645992452,0.504569928589364,0.129000946026457
"24",4,"2003",0.263806710409693,0.101601092051269,0.505438479200285,0.129153718338752
"25",4,"2004",0.262623478435016,0.101053640185663,0.507063897060437,0.129258984318884
"26",4,"2005",0.261885226038293,0.0993891671577546,0.50916197885385,0.129563627950102
"27",4,"2006",0.261209183862179,0.0981874532375342,0.511187912175217,0.12941545072507
"28",4,"2007",0.260696848621062,0.0982314098281023,0.510882291091255,0.130189450459581
"29",4,"2008",0.259324382893852,0.098951461715105,0.509221602194268,0.132502553196774
"30",4,"2009",0.256551078532856,0.0992310765275445,0.508568292682158,0.135649552257442
"31",5,"2000",0.254006215214882,0.0984656841589673,0.50771413894186,0.13981396168429
"32",5,"2001",0.252494175334777,0.0996187728282107,0.508727059401368,0.139159992435644
"33",5,"2002",0.250855991310926,0.100595101050398,0.50986408724256,0.138684820396116
"34",5,"2003",0.249403629456081,0.100969019559486,0.511001109799708,0.138626241184726
"35",5,"2004",0.248452368743195,0.100294724561277,0.513008030735146,0.138244875960382
"36",5,"2005",0.248026947639726,0.0986801251448619,0.514975205827053,0.138317721388359
"37",5,"2006",0.247307266632433,0.0970606653079407,0.516516459048091,0.139115609011536
"38",5,"2007",0.246691239710038,0.096651045231952,0.51665560879715,0.14000210626086
"39",5,"2008",0.245507650926022,0.0970011347847353,0.515707132306438,0.141784081982805
"40",5,"2009",0.24436464109377,0.0973311290946731,0.515188776195327,0.14311545361623
"41",6,"2000",0.2726578578066,0.0997810490456669,0.521392697188185,0.106168395959548
"42",6,"2001",0.27046440231166,0.101188742584063,0.522438983814653,0.105907871289624
"43",6,"2002",0.268558848466942,0.102007513626395,0.523557243590481,0.105876394316182
"44",6,"2003",0.266773085498522,0.102350629059938,0.524633863308534,0.106242422133007
"45",6,"2004",0.26475359818765,0.102938429961892,0.525957189201637,0.106350782648822
"46",6,"2005",0.262520374111347,0.102836074066546,0.527485488072815,0.107158063749292
"47",6,"2006",0.260149119954409,0.102741768583958,0.529600816763416,0.107508294698217
"48",6,"2007",0.257532135379473,0.103230866074501,0.530348663767326,0.1088883347787
"49",6,"2008",0.254658921974191,0.104156482877972,0.530357290722135,0.110827304425702
"50",6,"2009",0.251466232359319,0.105038309196916,0.530823528622384,0.112671929821381
"51",8,"2000",0.255765242767317,0.100224848107927,0.547339320500652,0.0966705886241048
"52",8,"2001",0.254569968459134,0.102517868977178,0.546782228386237,0.0961299341774509
"53",8,"2002",0.253489996227513,0.103353906083325,0.546996195889637,0.0961599017995255
"54",8,"2003",0.252741164635046,0.103045620716792,0.547008301661481,0.0972049129866815
"55",8,"2004",0.250571747009243,0.103035772794525,0.548018333499817,0.0983741466964138
"56",8,"2005",0.249660397660738,0.102044997633794,0.548641072495708,0.0996535322097598
"57",8,"2006",0.248247243944028,0.101132250224185,0.549132567144936,0.101487938686851
"58",8,"2007",0.247599226290148,0.0990724557793844,0.550294887369928,0.10303343056054
"59",8,"2008",0.246084957656149,0.0984725127972301,0.550296642145885,0.105145887400736
"60",8,"2009",0.244803954792602,0.0976047801825954,0.550117603995821,0.107473661028982
"61",9,"2000",0.246863144924185,0.0798783156108972,0.535280002180682,0.137978537284236
"62",9,"2001",0.246399841530397,0.0811279889653887,0.535274780174404,0.13719738932981
"63",9,"2002",0.245428910857654,0.0826185999620094,0.535578037030152,0.136374452150185
"64",9,"2003",0.244268922400136,0.0840303575774552,0.535591573258147,0.136109146764262
"65",9,"2004",0.242836434031808,0.0854490754539209,0.535955268937277,0.135759221576994
"66",9,"2005",0.240674248550595,0.0872659936423497,0.536495182716863,0.135564575090192
"67",9,"2006",0.238630147890808,0.0883850846917947,0.537581664041666,0.135403103375731
"68",9,"2007",0.236297193013294,0.0893606103303688,0.537823018935324,0.136519177721014
"69",9,"2008",0.233142739168976,0.0903288292264818,0.53759653923943,0.138931892365112
"70",9,"2009",0.230455777081689,0.0912859680493637,0.537749518713395,0.140508736155553
"71",10,"2000",0.247864563000001,0.0965864799528977,0.525624608169406,0.129924348877695
"72",10,"2001",0.246372057775616,0.0986930987722744,0.524940963856936,0.129993879595174
"73",10,"2002",0.244298652019614,0.100077030994742,0.52530176675114,0.130322550234504
"74",10,"2003",0.242107914029655,0.100493518972424,0.52652618633428,0.130872380663641
"75",10,"2004",0.240286806860351,0.0996770594232327,0.528347875489135,0.131688258227281
"76",10,"2005",0.238996627817547,0.0990948352363486,0.529294208128735,0.13261432881737
