"","STATE","YEAR","P017","P1824","P2565","P65"
"1",1,2010,0.237013748089378,0.0997928456259606,0.524633967865912,0.13855943841875
"2",1,2011,0.234931369392798,0.0998584741971494,0.524726042002015,0.140484114408037
"3",1,2012,0.232647942107549,0.100265732765131,0.52166685590534,0.145419469221979
"4",1,2013,0.230519214157641,0.100254488440434,0.519771402793537,0.149454894608388
"5",1,2014,0.229078907378607,0.0987839574450365,0.518452990509204,0.153684144667153
"6",1,2015,0.227863907360318,0.0967228001547522,0.517918847691448,0.157494444793482
"7",1,2016,0.22667036125074,0.0945081615877475,0.517245481402037,0.161575995759475
"8",1,2017,0.22544459334789,0.0928981284448206,0.516113764060834,0.165543514146456
"9",1,2018,0.224019115921461,0.0920382540020267,0.514373770349189,0.169568859727324
"10",1,2019,0.222583097497478,0.0913076940540322,0.512295200156585,0.173814008291905
"11",2,2010,0.271796458436947,0.0974132247654958,0.550454550711898,0.0803357660856591
"12",2,2011,0.268219832735962,0.0990982533993287,0.549910394265233,0.0827715195994766
"13",2,2012,0.265551925261677,0.0997093572312541,0.546770651564143,0.0879680659429258
"14",2,2013,0.263989336652314,0.0994096474703983,0.543882591047722,0.0927184248295658
"15",2,2014,0.261587943469963,0.098816946689089,0.541727518276486,0.0978675915644616
"16",2,2015,0.260165567403096,0.0959091741336923,0.540584699201514,0.103340559261697
"17",2,2016,0.259545197571387,0.0924731601004005,0.539409404139644,0.108572238188569
"18",2,2017,0.258056165247249,0.0888436394812989,0.538141956639438,0.114958238632014
"19",2,2018,0.255266114113577,0.0876530652165408,0.535397117260112,0.12168370340977
"20",2,2019,0.252744644818105,0.0857053786331964,0.53293573781726,0.128614238731439
"21",4,2010,0.254700675869958,0.0984391845458879,0.50761880658743,0.139241332996724
"22",4,2011,0.250483971397442,0.0995315525790029,0.507431900275773,0.142552575747782
"23",4,2012,0.247396051310953,0.100478670245153,0.503742093126849,0.148383185317045
"24",4,2013,0.244702780085786,0.100315898903882,0.501702750746267,0.153278570264065
"25",4,2014,0.241957444234053,0.099955131832095,0.500139253745956,0.157948170187896
"26",4,2015,0.239096196584246,0.0985321540533565,0.499710347650351,0.162661301712047
"27",4,2016,0.236230366552655,0.096981327674948,0.499704570105442,0.167083735666955
"28",4,2017,0.233020335289168,0.0953109218914927,0.499946767749113,0.171721975070227
