"","STFIPS","ADMYR","AdmAlc","AdmCoc","AdmMar","AdmHer","AdmOpi","AdmBen","AdmNMJ"
"182",41,2007,29080,1289,7660,3804,1626,0,45204
"183",41,2008,30527,1205,8514,3846,2083,0,45754
"184",41,2009,29357,945,8845,4266,2414,0,44439
"185",42,2005,29757,14379,11458,15840,3902,532,66348
"186",42,2006,28257,13495,11578,14071,4377,632,62756
"187",42,2007,28178,12087,11180,12233,5110,582,60167
"188",42,2008,30229,10986,12411,15536,6299,746,65993
"189",42,2009,25495,7166,10948,12256,5722,635,52998
"190",44,2005,4431,1622,1716,3475,931,75,10627
"191",44,2006,4583,1557,1587,2915,1089,74,10321
"192",44,2007,4537,1565,1663,2327,1094,73,9710
"193",44,2008,4408,1426,1735,2505,1166,68,9695
"194",44,2009,4001,1236,1988,2346,1024,67,8901
"195",45,2005,14160,4678,5189,434,1147,97,21894
"196",45,2006,13557,4532,5474,237,1091,100,20486
"197",45,2007,13802,4206,5855,204,1206,140,20472
"198",45,2008,14616,3609,6137,231,1528,162,21046
"199",45,2009,15808,2637,6394,256,1694,173,21479
"200",46,2005,9257,204,1858,23,137,0,11589
"201",46,2006,12024,191,1942,24,155,5,13861
"202",46,2007,12288,177,1920,25,164,5,13847
"203",46,2008,11676,190,2122,19,202,7,12946
"204",46,2009,11787,113,2044,29,253,9,12965
"205",47,2005,4869,2744,1403,0,1578,0,10317
"206",47,2006,4769,2654,1306,0,1529,0,9881
"207",47,2007,3799,2236,1417,0,1741,2,8876
"208",47,2008,3192,1796,1750,0,2022,0,8152
"209",47,2009,3476,1503,1803,104,2334,95,8428
"210",48,2005,9904,10195,10119,3984,2051,68,32905
"211",48,2006,10012,10633,10380,3912,2444,72,33464
"212",48,2007,10628,10739,10298,4041,2857,115,34274
"213",48,2008,11974,9887,11079,4529,3332,98,34692
"214",48,2009,12640,7910,11596,5194,3694,135,34619
"215",49,2005,3976,909,1775,1254,541,64,10490
"216",49,2006,4334,1005,1927,1420,664,40,11634
"217",49,2007,4848,1213,1950,1713,748,58,12292
"218",49,2008,5165,1252,2252,1889,864,42,12265
"219",49,2009,6088,930,2354,1891,886,65,12434
"220",50,2005,4384,606,1220,786,1015,24,6951
"221",50,2006,4137,694,1221,546,1364,34,6873
"222",50,2007,4050,649,1114,455,1424,41,6784
"223",50,2008,4139,564,1232,518,1720,40,7112
"224",50,2009,3452,363,1215,408,1413,49,5794
"225",51,2005,12552,6707,6198,2646,1627,199,30448
"226",51,2006,11502,5820,6186,2206,1460,189,28768
"227",51,2007,11517,5158,5745,2082,1511,153,25743
"228",51,2008,12629,4773,6188,2442,1859,199,27563
"229",51,2009,12318,3442,6297,2424,2232,209,23726
"230",53,2005,14480,2519,7151,3014,1454,57,28417
"231",53,2006,15274,3017,7592,2761,1267,70,29673
"232",53,2007,15961,2995,7835,2528,1498,76,30192
"233",53,2008,17024,2773,8336,3070,2504,61,31319
"234",53,2009,17642,2069,8788,3116,2924,62,31022
"235",54,2005,5006,844,1398,396,1600,196,8491
"236",54,2006,7962,1485,1840,426,2290,218,13012
"237",54,2007,7371,1067,1934,299,2791,222,12244
"238",54,2008,7438,775,1952,400,3678,247,13047
"239",54,2009,4456,314,1092,299,2556,193,8081
"240",55,2005,17488,2899,2323,932,762,49,23236
"241",55,2006,21530,3785,3373,909,982,49,28186
"242",55,2007,20950,3109,2746,917,1206,55,27073
"243",55,2008,21550,2192,2615,983,1199,74,26489
"244",55,2009,20986,2000,2722,1305,1508,88,26407
"245",56,2005,3176,94,1010,22,105,4,4868
"246",56,2006,2648,90,811,16,75,3,3744
"247",56,2007,2999,88,839,24,116,9,3971
"248",56,2008,3657,99,959,45,173,9,4640
"249",56,2009,3749,61,983,54,258,13,4848
"250",72,2005,641,156,223,1309,0,0,2141
"251",72,2006,168,107,226,1429,0,0,1761
"252",72,2007,1201,246,473,1650,0,3,3268
"253",72,2008,1167,239,404,1319,0,7,2900
"254",72,2009,1181,153,255,776,0,6,2218
