"","STATE","NAME","YEAR","TOTALPOP"
"1",1,"Alabama",2010,4769390
"2",1,"Alabama",2011,4783580
"3",1,"Alabama",2012,4799935
"4",1,"Alabama",2013,4814757
"5",1,"Alabama",2014,4826887
"6",1,"Alabama",2015,4838704
"7",1,"Alabama",2016,4850343
"8",1,"Alabama",2017,4861465
"9",1,"Alabama",2018,4873843
"10",1,"Alabama",2019,4889347
"11",2,"Alaska",2010,691672
"12",2,"Alaska",2011,703080
"13",2,"Alaska",2012,709462
"14",2,"Alaska",2013,713472
"15",2,"Alaska",2014,714169
"16",2,"Alaska",2015,715479
"17",2,"Alaska",2016,719917
"18",2,"Alaska",2017,718487
"19",2,"Alaska",2018,715708
"20",2,"Alaska",2019,712114
"21",4,"Arizona",2010,6385252
"22",4,"Arizona",2011,6451311
"23",4,"Arizona",2012,6534979
"24",4,"Arizona",2013,6612242
"25",4,"Arizona",2014,6710771
"26",4,"Arizona",2015,6811614
"27",4,"Arizona",2016,6922116
"28",4,"Arizona",2017,7025816
"29",4,"Arizona",2018,7138397
"30",4,"Arizona",2019,7259090
"31",5,"Arkansas",2010,2914798
"32",5,"Arkansas",2011,2934091
"33",5,"Arkansas",2012,2945608
"34",5,"Arkansas",2013,2952659
"35",5,"Arkansas",2014,2960619
"36",5,"Arkansas",2015,2972522
"37",5,"Arkansas",2016,2984731
"38",5,"Arkansas",2017,2995637
"39",5,"Arkansas",2018,3004471
"40",5,"Arkansas",2019,3012542
"41",6,"California",2010,37168385
"42",6,"California",2011,37485355
"43",6,"California",2012,37795774
"44",6,"California",2013,38104708
"45",6,"California",2014,38443855
"46",6,"California",2015,38762185
"47",6,"California",2016,39009538
"48",6,"California",2017,39197779
"49",6,"California",2018,39305490
"50",6,"California",2019,39356141
"51",8,"Colorado",2010,5013968
"52",8,"Colorado",2011,5086961
"53",8,"Colorado",2012,5157919
"54",8,"Colorado",2013,5232711
"55",8,"Colorado",2014,5313914
"56",8,"Colorado",2015,5415863
"57",8,"Colorado",2016,5505628
"58",8,"Colorado",2017,5575734
"59",8,"Colorado",2018,5655346
"60",8,"Colorado",2019,5722795
"61",9,"Connecticut",2010,3570585
"62",9,"Connecticut",2011,3580900
"63",9,"Connecticut",2012,3587009
"64",9,"Connecticut",2013,3586408
"65",9,"Connecticut",2014,3586927
"66",9,"Connecticut",2015,3579816
"67",9,"Connecticut",2016,3570586
"68",9,"Connecticut",2017,3565967
"69",9,"Connecticut",2018,3564611
"70",9,"Connecticut",2019,3558382
"71",10,"Delaware",2010,895694
"72",10,"Delaware",2011,903543
"73",10,"Delaware",2012,911307
"74",10,"Delaware",2013,919417
"75",10,"Delaware",2014,928608
"76",10,"Delaware",2015,937695
"77",10,"Delaware",2016,945466
"78",10,"Delaware",2017,953449
"79",10,"Delaware",2018,962061
"80",10,"Delaware",2019,970344
"81",11,"District of Columbia",2010,602107
"82",11,"District of Columbia",2011,616799
"83",11,"District of Columbia",2012,631876
"84",11,"District of Columbia",2013,647268
"85",11,"District of Columbia",2014,658834
"86",11,"District of Columbia",2015,671621
"87",11,"District of Columbia",2016,681412
"88",11,"District of Columbia",2017,690589
"89",11,"District of Columbia",2018,697368
"90",11,"District of Columbia",2019,701570
"91",12,"Florida",2010,18773073
"92",12,"Florida",2011,18987071
"93",12,"Florida",2012,19230074
"94",12,"Florida",2013,19474496
"95",12,"Florida",2014,19776253
"96",12,"Florida",2015,20140632
"97",12,"Florida",2016,20542921
"98",12,"Florida",2017,20895127
"99",12,"Florida",2018,21176417
"100",12,"Florida",2019,21409839
"101",13,"Georgia",2010,9653475
"102",13,"Georgia",2011,9734255
"103",13,"Georgia",2012,9836497
"104",13,"Georgia",2013,9908961
"105",13,"Georgia",2014,10001630
"106",13,"Georgia",2015,10114323
"107",13,"Georgia",2016,10241578
"108",13,"Georgia",2017,10349084
"109",13,"Georgia",2018,10448117
"110",13,"Georgia",2019,10554409
"111",15,"Hawaii",2010,1324588
"112",15,"Hawaii",2011,1339531
"113",15,"Hawaii",2012,1351722
"114",15,"Hawaii",2013,1362098
"115",15,"Hawaii",2014,1367336
"116",15,"Hawaii",2015,1373855
"117",15,"Hawaii",2016,1379978
"118",15,"Hawaii",2017,1377736
"119",15,"Hawaii",2018,1375316
"120",15,"Hawaii",2019,1370589
"121",16,"Idaho",2010,1566090
"122",16,"Idaho",2011,1578777
"123",16,"Idaho",2012,1591555
"124",16,"Idaho",2013,1607347
"125",16,"Idaho",2014,1626884
"126",16,"Idaho",2015,1647198
"127",16,"Idaho",2016,1678882
"128",16,"Idaho",2017,1714237
"129",16,"Idaho",2018,1747000
"130",16,"Idaho",2019,1783529
"131",17,"Illinois",2010,12806410
"132",17,"Illinois",2011,12838364
"133",17,"Illinois",2012,12853671
"134",17,"Illinois",2013,12864224
"135",17,"Illinois",2014,12857389
"136",17,"Illinois",2015,12830241
"137",17,"Illinois",2016,12791182
"138",17,"Illinois",2017,12751446
"139",17,"Illinois",2018,12695357
"140",17,"Illinois",2019,12644109
"141",18,"Indiana",2010,6485541
"142",18,"Indiana",2011,6512319
"143",18,"Indiana",2012,6534056
"144",18,"Indiana",2013,6565253
"145",18,"Indiana",2014,6590571
"146",18,"Indiana",2015,6605677
"147",18,"Indiana",2016,6631710
"148",18,"Indiana",2017,6655353
"149",18,"Indiana",2018,6692658
"150",18,"Indiana",2019,6729379
"151",19,"Iowa",2010,3048811
"152",19,"Iowa",2011,3062332
"153",19,"Iowa",2012,3074634
"154",19,"Iowa",2013,3091328
"155",19,"Iowa",2014,3107799
"156",19,"Iowa",2015,3119661
"157",19,"Iowa",2016,3130009
"158",19,"Iowa",2017,3140325
"159",19,"Iowa",2018,3146817
"160",19,"Iowa",2019,3153269
"161",20,"Kansas",2010,2837645
"162",20,"Kansas",2011,2848500
"163",20,"Kansas",2012,2862186
"164",20,"Kansas",2013,2868822
"165",20,"Kansas",2014,2877714
"166",20,"Kansas",2015,2885174
"167",20,"Kansas",2016,2889950
"168",20,"Kansas",2017,2886775
"169",20,"Kansas",2018,2888622
"170",20,"Kansas",2019,2890576
"171",21,"Kentucky",2010,4326689
"172",21,"Kentucky",2011,4347359
"173",21,"Kentucky",2012,4362055
"174",21,"Kentucky",2013,4384431
"175",21,"Kentucky",2014,4394929
"176",21,"Kentucky",2015,4407622
"177",21,"Kentucky",2016,4421692
"178",21,"Kentucky",2017,4435540
"179",21,"Kentucky",2018,4444369
"180",21,"Kentucky",2019,4450887
"181",22,"Louisiana",2010,4521072
"182",22,"Louisiana",2011,4558145
"183",22,"Louisiana",2012,4581342
"184",22,"Louisiana",2013,4604225
"185",22,"Louisiana",2014,4625130
"186",22,"Louisiana",2015,4647002
"187",22,"Louisiana",2016,4660634
"188",22,"Louisiana",2017,4652908
"189",22,"Louisiana",2018,4643764
"190",22,"Louisiana",2019,4632866
"191",23,"Maine",2010,1324993
"192",23,"Maine",2011,1326841
"193",23,"Maine",2012,1326415
"194",23,"Maine",2013,1326592
"195",23,"Maine",2014,1329120
"196",23,"Maine",2015,1327119
"197",23,"Maine",2016,1329832
"198",23,"Maine",2017,1333330
"199",23,"Maine",2018,1337690
"200",23,"Maine",2019,1342845
"201",24,"Maryland",2010,5760134
"202",24,"Maryland",2011,5810599
"203",24,"Maryland",2012,5859172
"204",24,"Maryland",2013,5894349
"205",24,"Maryland",2014,5927602
"206",24,"Maryland",2015,5955397
"207",24,"Maryland",2016,5967100
"208",24,"Maryland",2017,5987619
"209",24,"Maryland",2018,6000751
"210",24,"Maryland",2019,6010629
"211",25,"Massachusetts",2010,6559035
"212",25,"Massachusetts",2011,6606095
"213",25,"Massachusetts",2012,6657005
"214",25,"Massachusetts",2013,6707548
"215",25,"Massachusetts",2014,6756979
"216",25,"Massachusetts",2015,6789250
"217",25,"Massachusetts",2016,6818546
"218",25,"Massachusetts",2017,6854738
"219",25,"Massachusetts",2018,6877701
"220",25,"Massachusetts",2019,6887571
"221",26,"Michigan",2010,9871996
"222",26,"Michigan",2011,9876518
"223",26,"Michigan",2012,9891475
"224",26,"Michigan",2013,9908706
"225",26,"Michigan",2014,9925641
"226",26,"Michigan",2015,9927529
"227",26,"Michigan",2016,9946582
"228",26,"Michigan",2017,9969346
"229",26,"Michigan",2018,9980363
"230",26,"Michigan",2019,9983148
"231",27,"Minnesota",2010,5306690
"232",27,"Minnesota",2011,5341158
"233",27,"Minnesota",2012,5373866
"234",27,"Minnesota",2013,5410919
"235",27,"Minnesota",2014,5448249
"236",27,"Minnesota",2015,5479841
"237",27,"Minnesota",2016,5520453
"238",27,"Minnesota",2017,5564223
"239",27,"Minnesota",2018,5604111
"240",27,"Minnesota",2019,5637494
"241",28,"Mississippi",2010,2954851
"242",28,"Mississippi",2011,2962085
"243",28,"Mississippi",2012,2966615
"244",28,"Mississippi",2013,2972537
"245",28,"Mississippi",2014,2975302
"246",28,"Mississippi",2015,2973658
